Review,Liked,Cleaned_Review,Sentiment_Score,Predicted_Sentiment
Wow... Loved this place.,1,wow loved place,0.39999999999999997,Positive
Crust is not good.,0,crust not good,-0.35,Negative
Not tasty and the texture was just nasty.,0,not tasty texture nasty,-1.0,Negative
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,0.19999999999999998,Positive
The selection on the menu was great and so were the prices.,1,selection menu great prices,0.8,Positive
Now I am getting angry and I want my damn pho.,0,getting angry want damn pho,-0.5,Negative
Honeslty it didn't taste THAT fresh.),0,honeslty didn taste fresh,0.3,Positive
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potatoes like rubber could tell made ahead time kept warmer,0.0,Neutral
The fries were great too.,1,fries great,0.8,Positive
A great touch.,1,great touch,0.8,Positive
Service was very prompt.,1,service prompt,0.0,Neutral
Would not go back.,0,would not go back,0.0,Neutral
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier no care ever say still ended wayyy overpriced,0.0,Neutral
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberry mmmm,-0.6,Negative
I was disgusted because I was pretty sure that was human hair.,0,disgusted pretty sure human hair,-0.0625,Negative
I was shocked because no signs indicate cash only.,0,shocked no signs indicate cash,-0.7,Negative
Highly recommended.,1,highly recommended,0.16,Positive
Waitress was a little slow in service.,0,waitress little slow service,-0.24375000000000002,Negative
"This place is not worth your time, let alone Vegas.",0,place not worth time let alone vegas,-0.15,Negative
did not like at all.,0,not like,0.0,Neutral
The Burrittos Blah!,0,burrittos blah,0.0,Neutral
"The food, amazing.",1,food amazing,0.6000000000000001,Positive
Service is also cute.,1,service also cute,0.5,Positive
I could care less... The interior is just beautiful.,1,could care less interior beautiful,0.3416666666666667,Positive
So they performed.,1,performed,0.0,Neutral
That's right....the red velvet cake.....ohhh this stuff is so good.,1,right red velvet cake ohhh stuff good,0.32857142857142857,Positive
- They never brought a salad we asked for.,0,never brought salad asked,0.0,Neutral
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street tacos friendly staff,0.39166666666666666,Positive
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food tables restaurant food luke warm sever running around like totally overwhelmed,0.3,Positive
The worst was the salmon sashimi.,0,worst salmon sashimi,-1.0,Negative
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combos like burger fries beer decent deal,0.16666666666666666,Positive
This was like the final blow!,0,like final blow,0.0,Neutral
I found this place by accident and I could not be happier.,1,found place accident could not happier,0.0,Neutral
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,0.4694444444444444,Positive
"Overall, I like this place a lot.",1,overall like place lot,0.0,Neutral
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant inexpensive,0.5,Positive
Ample portions and good prices.,1,ample portions good prices,0.7,Positive
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like stupid every time came table,-0.6,Negative
My first visit to Hiro was a delight!,1,first visit hiro delight,0.25,Positive
Service sucks.,0,service sucks,-0.3,Negative
The shrimp tender and moist.,1,shrimp tender moist,0.0,Neutral
There is not a deal good enough that would drag me into that establishment again.,0,not deal good enough would drag establishment,0.19999999999999998,Positive
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether sides good grossed melted styrofoam didn want eat fear getting sick,-0.10198412698412701,Negative
"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provided great service,0.47575757575757577,Positive
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen pucks disgust worst people behind register,-0.7,Negative
The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section,0.0,Neutral
It's too bad the food is so damn generic.,0,bad food damn generic,-0.3499999999999999,Negative
"The burger is good beef, cooked just right.",1,burger good beef cooked right,0.4928571428571428,Positive
If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse,0.0,Neutral
